City,Population,Latitude,Longitude,Area,Population Density,Bounding Box
Elkhart,52748,41.6819935,-85.9766671,1234.2074696635157,42.73835744518771,"[41.435393, 41.7605156, -86.062575, -85.6535264]"
Knox,3662,41.2974406,-86.6233079,1396.0123337028342,2.6231859931257033,"[38.413862, 38.907874, -87.7566433, -87.090694]"
Princeton,8301,38.355439,-87.5678034,12.914477788403547,642.7669888018095,"[38.333293, 38.374231, -87.617171, -87.538324]"
Hartford City,6220,40.4511541,-85.369972,10.250687749351831,606.7885542990324,"[40.43172, 40.4764, -85.407539, -85.341186]"
Richmond,36812,39.8286897,-84.8898521,63.40913928525214,580.5472273389119,"[39.74859, 39.882589, -84.963745, -84.8136716]"
Liberty,2133,39.6356048,-84.931071,2.2689204798180933,940.0946480817211,"[39.628343, 39.642384, -84.940564, -84.912022]"
Berne,4114,40.6578242,-84.9519115,6.236917253785638,659.6207441269025,"[40.6430111, 40.6724745, -84.9787589, -84.9358166]"
Rising Sun,2304,38.9495047,-84.853838,4.158237934741575,554.0808477433094,"[38.9412942, 38.965041, -84.8708898, -84.8342226]"
Portland,6223,40.4344895,-84.9777455,12.026759796125347,517.4294743963258,"[40.411974, 40.461887, -85.009914, -84.959248]"
Butler,2712,41.4297694,-84.8713507,5.507787302660997,492.39374198232775,"[41.415132, 41.437069, -84.900389, -84.855436]"
Union City,3584,40.201991,-84.8091287,4.436381091771239,807.8656738141215,"[40.189218, 40.215766, -84.838216, -84.805684]"
Aurora,3750,39.0570022,-84.9013402,8.239386740452078,455.13096036492703,"[39.0344548, 39.088879, -84.932051, -84.8672924]"
Angola,7922,41.634874,-84.99928,15.13763276782535,523.3314958,"[41.617198, 41.679145, -85.037364, -84.969898]"
Decatur,9405,40.830603,-84.9291329,986.6738269737367,9.532025420038169,"[39.130669, 39.4533821, -85.687996, -85.296137]"
Winchester,4935,40.1719892,-84.9813549,8.801316595186965,560.7115647559735,"[40.150069, 40.197509, -84.998193, -84.948357]"
Lawrenceburg,5042,39.090891,-84.8499504,12.999487715242342,387.8614381156023,"[39.0744493, 39.132125, -84.900186, -84.8394081]"
